,id,HeadPitch,HeadYaw,HipPitch,HipRoll,KneePitch,LElbowRoll,LElbowYaw,LHand,LShoulderPitch,LShoulderRoll,LWristYaw,RElbowRoll,RElbowYaw,RHand,RShoulderPitch,RShoulderRoll,RWristYaw,R0R,R0G,R0B,L0R,L0G,L0B,R1R,R1G,R1B,L1R,L1G,L1B,R2R,R2G,R2B,L2R,L2G,L2B,R3R,R3G,R3B,L3R,L3G,L3B,R4R,R4G,R4B,L4R,L4G,L4B,R5R,R5G,R5B,L5R,L5G,L5B,R6R,R6G,R6B,L6R,L6G,L6B,R7R,R7G,R7B,L7R,L7G,L7B
1281,Happy_01,-0.26384473,-0.009203911,-0.17487383,-0.07209706,0.06596112,-1.044641,-1.7441361,0.1810193,1.7426022,0.25464082,-0.010779858,0.90965056,1.1152041,0.03251314,1.3391654,-0.25310683,0.084327936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1282,Happy_01,-0.21168947,-0.013805866,-0.17487383,-0.07669902,0.06596112,-1.0369711,-1.7456701,0.1898067,1.7426022,0.25464082,-0.010779858,0.9050486,1.1152041,0.053602815,1.3391654,-0.25464082,0.084327936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1283,Happy_01,-0.15799999,-0.021475792,-0.17333984,-0.07976699,0.06749511,-1.0093594,-1.7364662,0.20474517,1.7426022,0.25464082,-0.010779858,0.8881748,1.125942,0.08435857,1.3422334,-0.25464082,0.084327936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1284,Happy_01,-0.13192225,-0.024543762,-0.17333984,-0.078233,0.06749511,-0.9863496,-1.7257283,0.21616876,1.7426022,0.25464082,-0.010779858,0.8743689,1.1397479,0.10193324,1.3483694,-0.25464082,0.084327936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1285,Happy_01,-0.11811662,-0.029145718,-0.17333984,-0.07669902,0.06902909,-0.9449322,-1.7011845,0.23462212,1.7349323,0.25310683,-0.010779858,0.8498254,1.1642915,0.13444638,1.3667767,-0.25464082,0.084327936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1286,Happy_01,-0.13959217,-0.029145718,-0.17333984,-0.07363105,0.06902909,-0.90198064,-1.6720393,0.25922668,1.7134566,0.25310683,-0.010779858,0.82221365,1.1965051,0.16783834,1.3867185,-0.25310683,0.08279395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1287,Happy_01,-0.15799999,-0.029145718,-0.17180586,-0.07056308,0.06749511,-0.8774371,-1.6505635,0.27680147,1.6965828,0.25464082,-0.010779858,0.80534005,1.2179807,0.19068539,1.3974564,-0.25157285,0.084327936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1288,Happy_01,-0.18254375,-0.027611732,-0.17180586,-0.06289315,0.06596112,-0.83295155,-1.6076119,0.30404222,1.6674372,0.25464082,-0.010779858,0.7777283,1.2593982,0.22583485,1.4250681,-0.25157285,0.08279395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1289,Happy_01,-0.19481564,-0.027611732,-0.17180586,-0.052155256,0.06596112,-0.7792623,-1.5661943,0.3233744,1.6398255,0.25464082,-0.012313843,0.7485826,1.3023497,0.2565905,1.4542139,-0.25157285,0.084327936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1290,Happy_01,-0.19481564,-0.029145718,-0.17180586,-0.039883614,0.06596112,-0.7301748,-1.5217092,0.32864678,1.6137478,0.25310683,-0.018450022,0.72250485,1.3453012,0.28119504,1.4833596,-0.25157285,0.08279395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
